File,Model,Response,Actions_ground_truth_labels,Actions_predicted_labels,Actions_precision,Actions_recall,Actions_f1_score,Data Types_ground_truth_labels,Data Types_predicted_labels,Data Types_precision,Data Types_recall,Data Types_f1_score,Purposes_ground_truth_labels,Purposes_predicted_labels,Purposes_precision,Purposes_recall,Purposes_f1_score
Actual_Budget\Accounts_&_Transactions.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['share', 'collect', 'use']",0.0,0.0,0.0,[],"['accountinformation', 'account information', 'tracking', 'financial']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
Actual_Budget\Accounts_&_Transactions.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['collect', 'use']",0.0,0.0,0.0,[],"['tracking', 'financial']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
Akaunting\CreatingAnewAccount.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['collect', 'use']",0.0,0.0,0.0,[],"['accountinformation', 'account information', 'tracking', 'financial']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
Akaunting\CreatingAnewAccount.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['share', 'collect', 'use']",0.0,0.0,0.0,[],"['accountinformation', 'account information', 'tracking', 'financial']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
Attendize\features.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['collect', 'use']",0.0,0.0,0.0,[],"['tracking', 'contact data', 'contactdata', 'accountinformation', 'usage data', 'account information', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
Attendize\features.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['collect', 'use']",0.0,0.0,0.0,[],"['healthdata', 'tracking', 'contact data', 'contactdata', 'accountinformation', 'usage data', 'health data', 'account information', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
element-android\add_threePids.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['collect', 'use']",0.0,0.0,0.0,[],"['accountinformation', 'account information']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
element-android\add_threePids.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['collect', 'use']",0.0,0.0,0.0,[],"['tracking', 'contact data', 'contactdata', 'accountinformation', 'account information']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
friendica\account-basics.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['collect', 'use']",0.0,0.0,0.0,[],[],0.0,0.0,0.0,[],[],0.0,0.0,0.0
friendica\account-basics.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['share', 'collect', 'use']",0.0,0.0,0.0,[],"['socialmedia', 'tracking', 'social media', 'contact data', 'contactdata', 'accountinformation', 'usage data', 'account information', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
gotosocial\signups.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['collect', 'use']",0.0,0.0,0.0,[],[],0.0,0.0,0.0,[],[],0.0,0.0,0.0
gotosocial\signups.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['share', 'collect', 'use']",0.0,0.0,0.0,[],[],0.0,0.0,0.0,[],[],0.0,0.0,0.0
invoiceninja\userdetails.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['collect', 'use']",0.0,0.0,0.0,[],"['contact data', 'contactdata', 'financial', 'accountinformation', 'usage data', 'account information', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
invoiceninja\userdetails.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['share', 'collect', 'use']",0.0,0.0,0.0,[],"['socialmedia', 'healthdata', 'social media', 'contact data', 'contactdata', 'accountinformation', 'usage data', 'health data', 'account information', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
jitsi-meet\configurations.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['share', 'collect', 'use']",0.0,0.0,0.0,[],"['contact data', 'contactdata', 'accountinformation', 'usage data', 'account information', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
jitsi-meet\configurations.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['collect', 'use']",0.0,0.0,0.0,[],"['tracking', 'contact data', 'contactdata', 'accountinformation', 'usage data', 'account information', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
joinlemmy\Getting Started.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['share', 'collect', 'use']",0.0,0.0,0.0,[],"['contact data', 'contactdata', 'accountinformation', 'usage data', 'account information', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
joinlemmy\Getting Started.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['share', 'collect', 'use']",0.0,0.0,0.0,[],"['contact data', 'contactdata', 'accountinformation', 'usage data', 'account information', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
koel\profile-preferences.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['share', 'collect', 'use']",0.0,0.0,0.0,[],[],0.0,0.0,0.0,[],[],0.0,0.0,0.0
koel\profile-preferences.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['collect', 'use']",0.0,0.0,0.0,[],[],0.0,0.0,0.0,[],[],0.0,0.0,0.0
lh-ehr\Direct_Messaging_README.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['share', 'collect', 'use']",0.0,0.0,0.0,[],"['healthdata', 'tracking', 'contact data', 'contactdata', 'usage data', 'health data', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
lh-ehr\Direct_Messaging_README.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['collect', 'use']",0.0,0.0,0.0,[],"['health data', 'healthdata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
Mattermost_Architecture\Navigation.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['share', 'collect', 'use']",0.0,0.0,0.0,[],"['healthdata', 'tracking', 'contact data', 'contactdata', 'accountinformation', 'usage data', 'health data', 'account information', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
Mattermost_Architecture\Navigation.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['share', 'collect', 'use']",0.0,0.0,0.0,[],"['healthdata', 'contact data', 'contactdata', 'usage data', 'health data', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
Monica\README.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['collect', 'use']",0.0,0.0,0.0,[],"['accountinformation', 'contact data', 'account information', 'contactdata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
Monica\README.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['collect', 'use']",0.0,0.0,0.0,[],"['contact data', 'contactdata', 'accountinformation', 'usage data', 'account information', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
openMRS\Architecture.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],['use'],0.0,0.0,0.0,[],"['usage data', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
openMRS\Architecture.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['collect', 'use']",0.0,0.0,0.0,[],"['accountinformation', 'usage data', 'account information', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
OpenTracks\data-structure.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['collect', 'use']",0.0,0.0,0.0,[],"['usage data', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
OpenTracks\data-structure.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['collect', 'use']",0.0,0.0,0.0,[],"['usage data', 'tracking', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
peertube\managing-users.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['share', 'collect', 'use']",0.0,0.0,0.0,[],['location'],0.0,0.0,0.0,[],[],0.0,0.0,0.0
peertube\managing-users.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['share', 'collect', 'use']",0.0,0.0,0.0,[],"['tracking', 'contact data', 'contactdata', 'accountinformation', 'usage data', 'account information', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
sharetribe\analyrics-events.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['share', 'collect', 'use']",0.0,0.0,0.0,[],"['tracking', 'contact data', 'contactdata', 'financial', 'accountinformation', 'usage data', 'account information', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
sharetribe\analyrics-events.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['collect', 'use']",0.0,0.0,0.0,[],"['tracking', 'contact data', 'contactdata', 'accountinformation', 'usage data', 'account information', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
Synapse\account_data_callbacks.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['collect', 'use']",0.0,0.0,0.0,[],"['accountinformation', 'contact data', 'account information', 'contactdata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
Synapse\account_data_callbacks.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['collect', 'use']",0.0,0.0,0.0,[],"['accountinformation', 'account information']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
Synapse\account_validity_callbacks.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['collect', 'use']",0.0,0.0,0.0,[],"['accountinformation', 'account information']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
Synapse\account_validity_callbacks.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['collect', 'use']",0.0,0.0,0.0,[],"['accountinformation', 'account information']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
Synapse\password_auth_provider_callbacks.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['collect', 'use']",0.0,0.0,0.0,[],"['accountinformation', 'account information']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
Synapse\password_auth_provider_callbacks.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['collect', 'use']",0.0,0.0,0.0,[],"['accountinformation', 'account information']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
TracDev_Docs\DatabaseSchema.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['collect', 'use']",0.0,0.0,0.0,[],"['accountinformation', 'account information']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
TracDev_Docs\DatabaseSchema.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['collect', 'use']",0.0,0.0,0.0,[],"['accountinformation', 'contact data', 'account information', 'contactdata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
TracDev_Docs\INotificationDistributor.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['collect', 'use']",0.0,0.0,0.0,[],"['accountinformation', 'contact data', 'account information', 'contactdata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
TracDev_Docs\INotificationDistributor.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['share', 'collect', 'use']",0.0,0.0,0.0,[],"['contact data', 'contactdata', 'accountinformation', 'usage data', 'account information', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
TracDev_Docs\INotificationSubscriber.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['collect', 'use']",0.0,0.0,0.0,[],"['contact data', 'contactdata', 'accountinformation', 'usage data', 'account information', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
TracDev_Docs\INotificationSubscriber.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['collect', 'use']",0.0,0.0,0.0,[],[],0.0,0.0,0.0,[],[],0.0,0.0,0.0
Zulip\file.txt,openai:gpt-4o-2024-11-20,Model Response 1,[],"['share', 'collect', 'use']",0.0,0.0,0.0,[],"['healthdata', 'contact data', 'contactdata', 'financial', 'accountinformation', 'usage data', 'health data', 'account information', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
Zulip\file.txt,openai:gpt-4o-2024-11-20,Model Response 2,[],"['share', 'collect', 'use']",0.0,0.0,0.0,[],"['healthdata', 'tracking', 'contact data', 'contactdata', 'accountinformation', 'usage data', 'health data', 'account information', 'usagedata']",0.0,0.0,0.0,[],[],0.0,0.0,0.0
